Location,Period,Dimension,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
Fiji,1959,Female,55.12 [49.87-60.71]
Fiji,1958,Both sexes,62.56 [57.04-68.49]
Fiji,1958,Male,67.11 [60.93-73.97]
Fiji,1958,Female,57.69 [52.15-63.61]
Fiji,1957,Both sexes,65.61 [59.68-71.93]
Fiji,1957,Male,70.28 [63.69-77.58]
Fiji,1957,Female,60.57 [54.73-66.91]
Fiji,1956,Both sexes,68.96 [62.67-75.72]
Fiji,1956,Male,73.83 [66.8-81.68]
Fiji,1956,Female,63.77 [57.61-70.56]
Fiji,1955,Both sexes,72.75 [66.01-80.06]
Fiji,1955,Male,77.82 [70.31-86.26]
Fiji,1955,Female,67.36 [60.57-74.8]
Fiji,1954,Both sexes,77.02 [69.66-85.15]
Fiji,1954,Male,82.32 [74.14-91.59]
Fiji,1954,Female,71.39 [64.05-79.53]
Fiji,1953,Both sexes,81.76 [73.59-90.79]
Fiji,1953,Male,87.26 [78.25-97.48]
Fiji,1953,Female,75.95 [67.86-84.84]
Fiji,1952,Both sexes,87.04 [77.68-97.51]
Fiji,1952,Male,92.73 [82.59-104.6]
Fiji,1952,Female,81 [71.78-91.24]
Fiji,1951,Both sexes,92.81 [81.92-105.5]
Fiji,1951,Male,98.75 [86.91-112.9]
Fiji,1951,Female,86.53 [75.66-98.91]
Fiji,1950,Both sexes,99.15 [85.79-114.9]
Fiji,1950,Male,105.3 [90.98-122.6]
Fiji,1950,Female,92.55 [79.55-107.7]
Finland,2019,Both sexes,1.95 [1.77-2.15]
Finland,2019,Male,2.12 [1.92-2.34]
Finland,2019,Female,1.77 [1.6-1.96]
Finland,2018,Both sexes,1.96 [1.82-2.11]
Finland,2018,Male,2.13 [1.97-2.3]
Finland,2018,Female,1.78 [1.64-1.93]
Finland,2017,Both sexes,1.97 [1.86-2.1]
Finland,2017,Male,2.14 [2.01-2.29]
Finland,2017,Female,1.79 [1.67-1.92]
Finland,2016,Both sexes,1.99 [1.89-2.11]
Finland,2016,Male,2.17 [2.04-2.31]
Finland,2016,Female,1.81 [1.7-1.93]
Finland,2015,Both sexes,2.03 [1.92-2.15]
Finland,2015,Male,2.21 [2.08-2.35]
Finland,2015,Female,1.85 [1.73-1.96]
Finland,2014,Both sexes,2.09 [1.97-2.2]
Finland,2014,Male,2.27 [2.13-2.4]
Finland,2014,Female,1.89 [1.78-2.01]
Finland,2013,Both sexes,2.16 [2.04-2.27]
Finland,2013,Male,2.35 [2.21-2.49]
Finland,2013,Female,1.96 [1.84-2.08]
Finland,2012,Both sexes,2.25 [2.13-2.36]
Finland,2012,Male,2.45 [2.31-2.59]
Finland,2012,Female,2.04 [1.92-2.16]
Finland,2011,Both sexes,2.35 [2.24-2.47]
Finland,2011,Male,2.56 [2.43-2.7]
